,title,location,environment,division,link,Similarity
position1,Legal Counsel,"Tallinn, Estonia ",Hybrid Remote,Legal,https://luminorbank.teamtailor.com/jobs/1833201-legal-counsel,0.2727272727272727
position2,Senior Business Analyst,"Vilnius, Lithuania ",Hybrid Remote,Corporate Banking,https://luminorbank.teamtailor.com/jobs/1833180-senior-business-analyst,0.18181818181818182
position3,Senior Business Analyst,"Riga, Latvia ",Hybrid Remote,Corporate Banking,https://luminorbank.teamtailor.com/jobs/1833147-senior-business-analyst,0.18181818181818182
position4,Senior Business Analyst,"Tallinn, Estonia ",Hybrid Remote,Corporate Banking,https://luminorbank.teamtailor.com/jobs/1833101-senior-business-analyst,0.18181818181818182
position5,Cash Management Specialist,Multiple locations,Hybrid Remote,Corporate Banking,https://luminorbank.teamtailor.com/jobs/1832921-cash-management-specialist,0.18181818181818182
position6,Asistentas (-ė) Vilniuje,"Vilnius, Lithuania ",On-site,Retail Banking,https://luminorbank.teamtailor.com/jobs/1831405-asistentas-e-vilniuje,0.0
position7,Asistentas (-ė) Kaune,"Kaunas, Lithuania",On-site,Retail Banking,https://luminorbank.teamtailor.com/jobs/1831385-asistentas-e-kaune,0.0
position8,Asistentas (-ė) Vakarų regiono verslo komandoje,"Klaipėda, Lithuania",On-site,Corporate Banking,https://luminorbank.teamtailor.com/jobs/1830745-asistentas-e-vakaru-regiono-verslo-komandoje,0.0
position9,Customer Service Officer,"Vilnius, Lithuania ",Hybrid Remote,Corporate Banking,https://luminorbank.teamtailor.com/jobs/1768817-customer-service-officer,0.18181818181818182
position10,Transactions Monitoring Specialist,"Vilnius, Lithuania ",Hybrid Remote,Retail Banking,https://luminorbank.teamtailor.com/jobs/1826535-transactions-monitoring-specialist,0.2727272727272727
position11,Project Manager,"Tallinn, Estonia ",Hybrid Remote,Compliance,https://luminorbank.teamtailor.com/jobs/1768217-project-manager,0.18181818181818182
position12,Project Manager,"Vilnius, Lithuania ",Hybrid Remote,Compliance,https://luminorbank.teamtailor.com/jobs/1768180-project-manager,0.18181818181818182
position13,Project Manager,"Riga, Latvia ",Hybrid Remote,Compliance,https://luminorbank.teamtailor.com/jobs/1768042-project-manager,0.18181818181818182
position14,Internship in Macro Modelling area,"Tallinn, Estonia ",Hybrid Remote,Risk,https://luminorbank.teamtailor.com/jobs/1824148-internship-in-macro-modelling-area,0.5454545454545454
